"","1","2","3","4","5","6","7","8","9","10"
"amaz",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.00169596053037311,0.00736615163492634,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.000164311534669734
"compar",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.00696568127760789,0.000174947515745277,0.000168747890651367,0.000164311534669734
"dont",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.00691866351670604,0.0346697338153138
"game",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.0286745157614888,0.000154178230033919,0.00197628458498024,0.000169894665307509,0.00192442267319804,0.000168747890651367,0.000164311534669734
"hulu",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.00169596053037311,0.00377290693496227,0.000169894665307509,0.00717284814555633,0.000168747890651367,0.000164311534669734
"just",0.000180962721679334,0.000196618167518679,0.029351184346035,0.0628560577288264,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.00367389783065081,0.00185622679716504,0.000164311534669734
"lot",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.0116661189615511
"movi",0.000180962721679334,0.015926071569013,0.00017164435290079,0.000189897455374098,0.00169596053037311,0.0055695292849443,0.0120625212368332,0.000174947515745277,0.000168747890651367,0.000164311534669734
"much",0.000180962721679334,0.00216279984270547,0.00017164435290079,0.00208887200911508,0.000154178230033919,0.00736615163492634,0.000169894665307509,0.000174947515745277,0.00523118461019237,0.000164311534669734
"netflix",0.000180962721679334,0.0139598898938262,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.0055695292849443,0.000169894665307509,0.0124212736179146,0.000168747890651367,0.000164311534669734
"origin",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.00197628458498024,0.0018688413183826,0.000174947515745277,0.000168747890651367,0.00180742688136707
"simpli",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.0032377428307123,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.000164311534669734
"star",0.0273253709735794,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.000164311534669734
"stuff",0.00560984437205935,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.0035677879714577,0.000174947515745277,0.000168747890651367,0.000164311534669734
"throne",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.0305734903152298,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.000164311534669734
"crash",0.000180962721679334,0.0100275265434526,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.00197628458498024,0.0018688413183826,0.000174947515745277,0.00185622679716504,0.000164311534669734
"didnt",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.0141707487753674,0.000168747890651367,0.000164311534669734
"everi",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.0145526410348545,0.000169894665307509,0.00367389783065081,0.000168747890651367,0.000164311534669734
"love",0.000180962721679334,0.0139598898938262,0.00017164435290079,0.0153816938853019,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.00192442267319804,0.000168747890651367,0.000164311534669734
"movieshow",0.000180962721679334,0.000196618167518679,0.00017164435290079,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.00185622679716504,0.000164311534669734
"time",0.000180962721679334,0.0513173417223752,0.0173360796429797,0.000189897455374098,0.000154178230033919,0.000179662234998203,0.000169894665307509,0.000174947515745277,0.000168747890651367,0.000164311534669734
"watch",0.00199058993847267,0.00216279984270547,0.00017164435290079,0.013482719331561,0.000154178230033919,0.000179662234998203,0.027353041114509,0.0351644506648006,0.0440431994600067,0.000164311534669734
